NAME,County,GINI Index
"Henderson County, North Carolina","Henderson County, North Carolina",0.3956
"Johnston County, North Carolina","Johnston County, North Carolina",0.3966
"Onslow County, North Carolina","Onslow County, North Carolina",0.3966
"Rowan County, North Carolina","Rowan County, North Carolina",0.4072
"Cumberland County, North Carolina","Cumberland County, North Carolina",0.4153
"Randolph County, North Carolina","Randolph County, North Carolina",0.4172
"Rockingham County, North Carolina","Rockingham County, North Carolina",0.4178
"Rutherford County, North Carolina","Rutherford County, North Carolina",0.42700000000000005
"Harnett County, North Carolina","Harnett County, North Carolina",0.4276
"Davidson County, North Carolina","Davidson County, North Carolina",0.4281
"Carteret County, North Carolina","Carteret County, North Carolina",0.4312
"Craven County, North Carolina","Craven County, North Carolina",0.4363
"Cabarrus County, North Carolina","Cabarrus County, North Carolina",0.4364
"Wake County, North Carolina","Wake County, North Carolina",0.4366
"Caldwell County, North Carolina","Caldwell County, North Carolina",0.4453
"Cleveland County, North Carolina","Cleveland County, North Carolina",0.4455
"Burke County, North Carolina","Burke County, North Carolina",0.4473
"Lincoln County, North Carolina","Lincoln County, North Carolina",0.4476
"New Hanover County, North Carolina","New Hanover County, North Carolina",0.4502
"Gaston County, North Carolina","Gaston County, North Carolina",0.4509
"Pitt County, North Carolina","Pitt County, North Carolina",0.4513
"Chatham County, North Carolina","Chatham County, North Carolina",0.4526
"Catawba County, North Carolina","Catawba County, North Carolina",0.4531
"Wilson County, North Carolina","Wilson County, North Carolina",0.4568
"Alamance County, North Carolina","Alamance County, North Carolina",0.4575
"Nash County, North Carolina","Nash County, North Carolina",0.4604
"Brunswick County, North Carolina","Brunswick County, North Carolina",0.4607
"Wayne County, North Carolina","Wayne County, North Carolina",0.4613
"Union County, North Carolina","Union County, North Carolina",0.4622
"Guilford County, North Carolina","Guilford County, North Carolina",0.46399999999999997
"Surry County, North Carolina","Surry County, North Carolina",0.4698
"Iredell County, North Carolina","Iredell County, North Carolina",0.4734
"Buncombe County, North Carolina","Buncombe County, North Carolina",0.4748
"Wilkes County, North Carolina","Wilkes County, North Carolina",0.4793
"Durham County, North Carolina","Durham County, North Carolina",0.4817
"Moore County, North Carolina","Moore County, North Carolina",0.4819
"Robeson County, North Carolina","Robeson County, North Carolina",0.4876
"Mecklenburg County, North Carolina","Mecklenburg County, North Carolina",0.4957
"Forsyth County, North Carolina","Forsyth County, North Carolina",0.5039
"Orange County, North Carolina","Orange County, North Carolina",0.5337
